Step	PotentialEnergy	Width	Height	Area
375	-294.721316	8.0995	8.4938	68.7956
376	-294.696634	8.0950	8.4986	68.7965
377	-294.660045	8.0927	8.4975	68.7680
378	-294.671584	8.0911	8.4945	68.7293
379	-294.673232	8.0900	8.4917	68.6973
380	-294.721316	8.0946	8.4821	68.6593
381	-294.696634	8.0898	8.4864	68.6533
382	-294.660045	8.0871	8.4849	68.6178
383	-294.671584	8.0850	8.4814	68.5718
384	-294.673232	8.0834	8.4781	68.5322
385	-294.721316	8.0874	8.4682	68.4857
386	-294.696634	8.0821	8.4721	68.4727
387	-294.660045	8.0791	8.4701	68.4303
388	-294.671584	8.0765	8.4661	68.3770
389	-294.673232	8.0745	8.4624	68.3300
390	-294.721316	8.0778	8.4522	68.2750
391	-294.696634	8.0722	8.4556	68.2550
392	-294.660045	8.0687	8.4531	68.2057
393	-294.671584	8.0657	8.4487	68.1451
394	-294.673232	8.0632	8.4446	68.0907
395	-294.721316	8.0659	8.4339	68.0273
396	-294.696634	8.0599	8.4369	68.0004
397	-294.660045	8.0560	8.4339	67.9443
398	-294.671584	8.0526	8.4291	67.8766
399	-294.673232	8.0497	8.4245	67.8147
400	-294.721316	8.0517	8.4135	67.7430
401	-294.696634	8.0453	8.4160	67.7092
402	-294.660045	8.0410	8.4126	67.6463
403	-294.671584	8.0372	8.4074	67.5716
404	-294.673232	8.0338	8.4023	67.5024
405	-294.721316	8.0351	8.3909	67.4224
406	-294.696634	8.0284	8.3930	67.3819
407	-294.660045	8.0237	8.3892	67.3123
408	-294.671584	8.0194	8.3834	67.2305
409	-294.673232	8.0156	8.3780	67.1542
410	-294.721316	8.0163	8.3662	67.0660
411	-294.696634	8.0091	8.3678	67.0187
412	-294.660045	8.0041	8.3635	66.9425
413	-294.671584	7.9994	8.3574	66.8538
414	-294.673232	7.9950	8.3515	66.7704
415	-294.721316	7.9951	8.3394	66.6741
416	-294.696634	7.9876	8.3405	66.6202
417	-294.660045	7.9821	8.3358	66.5374
418	-294.671584	7.9770	8.3292	66.4419
419	-294.673232	7.9722	8.3228	66.3514
420	-294.721316	7.9716	8.3144	66.2791
421	-294.696634	7.9637	8.3269	66.3133
422	-294.660045	7.9579	8.3352	66.3306
423	-294.671584	7.9523	8.3397	66.3200
424	-294.673232	7.9471	8.3438	66.3092
425	-294.721316	7.9458	8.3420	66.2840
426	-294.696634	7.9376	8.3541	66.3110
427	-294.660045	7.9314	8.3619	66.3213
428	-294.671584	7.9254	8.3660	66.3033
429	-294.673232	7.9197	8.3697	66.2850
430	-294.721316	7.9178	8.3675	66.2516
431	-294.696634	7.9114	8.3791	66.2902
432	-294.660045	7.9200	8.3865	66.4213
433	-294.671584	7.9286	8.3901	66.5217
434	-294.673232	7.9377	8.3934	66.6236
435	-294.721316	7.9467	8.3908	66.6796
436	-294.696634	7.9566	8.4020	66.8510
437	-294.660045	7.9648	8.4089	66.9755
438	-294.671584	7.9729	8.4121	67.0690
439	-294.673232	7.9816	8.4149	67.1641
440	-294.721316	7.9902	8.4120	67.2139
441	-294.696634	7.9996	8.4228	67.3787
442	-294.660045	8.0074	8.4292	67.4964
443	-294.671584	8.0151	8.4319	67.5828
444	-294.673232	8.0233	8.4343	67.6710
445	-294.721316	8.0315	8.4311	67.7145
