Step	PotentialEnergy	Width	Height	Area
309	-17153.691819	25.0000	25.0000	625.0000
310	-17428.271231	25.0000	25.0000	625.0000
311	-17141.857620	25.0000	25.0000	625.0000
312	-17911.767230	25.0000	25.0000	625.0000
313	-17320.013032	25.0000	25.0000	625.0000
314	-18145.641945	25.0000	25.0000	625.0000
315	-17764.355800	25.0000	25.0000	625.0000
316	-17575.220266	25.0000	25.0000	625.0000
317	-17248.321711	25.0000	25.0000	625.0000
318	-17727.609525	25.0000	25.0000	625.0000
319	-17076.906886	25.0000	25.0000	625.0000
320	-17121.597218	25.0000	25.0000	625.0000
321	-16783.085628	25.0000	25.0000	625.0000
322	-16573.111759	25.0000	25.0000	625.0000
323	-16181.983677	25.0000	25.0000	625.0000
324	-16496.266333	25.0000	25.0000	625.0000
325	-16322.730201	25.0000	25.0000	625.0000
326	-16057.795159	25.0000	25.0000	625.0000
327	-16261.104993	25.0000	25.0000	625.0000
328	-16449.839349	25.0000	25.0000	625.0000
329	-17052.071645	25.0000	25.0000	625.0000
330	-16941.201196	25.0000	25.0000	625.0000
331	-17064.493666	25.0000	25.0000	625.0000
332	-16861.071759	25.0000	25.0000	625.0000
333	-18004.257114	25.0000	25.0000	625.0000
334	-17368.583009	25.0000	25.0000	625.0000
335	-16879.225067	25.0000	25.0000	625.0000
336	-16677.401308	25.0000	25.0000	625.0000
337	-16937.857967	25.0000	25.0000	625.0000
338	-16593.679162	25.0000	25.0000	625.0000
339	-16617.085563	25.0000	25.0000	625.0000
340	-17533.822305	25.0000	25.0000	625.0000
341	-16957.902048	25.0000	25.0000	625.0000
342	-17056.353081	25.0000	25.0000	625.0000
343	-17083.706705	25.0000	25.0000	625.0000
344	-17129.969278	25.0000	25.0000	625.0000
345	-16463.488927	25.0000	25.0000	625.0000
346	-16782.228662	25.0000	25.0000	625.0000
347	-17017.298644	25.0000	25.0000	625.0000
348	-16429.634057	25.0000	25.0000	625.0000
349	-17121.514316	25.0000	25.0000	625.0000
350	-16987.868768	25.0000	25.0000	625.0000
351	-17437.770360	25.0000	25.0000	625.0000
352	-17091.146957	25.0000	25.0000	625.0000
353	-17113.518264	25.0000	25.0000	625.0000
354	-17303.609488	25.0000	25.0000	625.0000
355	-17524.793348	25.0000	25.0000	625.0000
356	-16998.240908	25.0000	25.0000	625.0000
357	-17997.686582	25.0000	25.0000	625.0000
358	-16702.364564	25.0000	25.0000	625.0000
359	-18282.473899	25.0000	25.0000	625.0000
360	-16774.488165	25.0000	25.0000	625.0000
361	-16279.574780	25.0000	25.0000	625.0000
362	-16334.938573	25.0000	25.0000	625.0000
363	-15948.294508	25.0000	25.0000	625.0000
364	-16749.513818	25.0000	25.0000	625.0000
365	-16557.981285	25.0000	25.0000	625.0000
366	-16141.256257	25.0000	25.0000	625.0000
367	-17229.405204	25.0000	25.0000	625.0000
368	-16661.943573	25.0000	25.0000	625.0000
369	-16380.405020	25.0000	25.0000	625.0000
370	-16288.046589	25.0000	25.0000	625.0000
371	-16531.241383	25.0000	25.0000	625.0000
372	-16202.719437	25.0000	25.0000	625.0000
373	-16448.712686	25.0000	25.0000	625.0000
374	-16382.468660	25.0000	25.0000	625.0000
375	-17026.953612	25.0000	25.0000	625.0000
376	-16860.271456	25.0000	25.0000	625.0000
377	-16596.694422	25.0000	25.0000	625.0000
378	-17222.256251	25.0000	25.0000	625.0000
379	-16813.767399	25.0000	25.0000	625.0000
380	-16893.271232	25.0000	25.0000	625.0000
381	-16086.299677	25.0000	25.0000	625.0000
382	-16499.950659	25.0000	25.0000	625.0000
383	-16860.944168	25.0000	25.0000	625.0000
384	-16377.711731	25.0000	25.0000	625.0000
385	-16408.486944	25.0000	25.0000	625.0000
386	-16551.195787	25.0000	25.0000	625.0000
387	-15928.195267	25.0000	25.0000	625.0000
388	-16626.310616	25.0000	25.0000	625.0000
389	-16653.928821	25.0000	25.0000	625.0000
390	-17102.082668	25.0000	25.0000	625.0000
391	-16685.476545	25.0000	25.0000	625.0000
392	-17216.671819	25.0000	25.0000	625.0000
393	-17324.144748	25.0000	25.0000	625.0000
394	-16890.418543	25.0000	25.0000	625.0000
395	-16682.462020	25.0000	25.0000	625.0000
396	-16368.894632	25.0000	25.0000	625.0000
397	-17365.188313	25.0000	25.0000	625.0000
398	-16760.154516	25.0000	25.0000	625.0000
399	-17030.379664	25.0000	25.0000	625.0000
400	-17762.855027	25.0000	25.0000	625.0000
401	-16959.759266	25.0000	25.0000	625.0000
402	-17266.138257	25.0000	25.0000	625.0000
403	-17210.988522	25.0000	25.0000	625.0000
404	-17664.848979	25.0000	25.0000	625.0000
405	-17510.228519	25.0000	25.0000	625.0000
406	-16829.475118	25.0000	25.0000	625.0000
407	-17108.941736	25.0000	25.0000	625.0000
408	-16477.235772	25.0000	25.0000	625.0000
409	-16407.401289	25.0000	25.0000	625.0000
410	-17106.880430	25.0000	25.0000	625.0000
411	-16451.858706	25.0000	25.0000	625.0000
412	-16360.429909	25.0000	25.0000	625.0000
413	-16938.523393	25.0000	25.0000	625.0000
414	-16034.964816	25.0000	25.0000	625.0000
415	-16660.606517	25.0000	25.0000	625.0000
416	-17185.637301	25.0000	25.0000	625.0000
417	-16899.166169	25.0000	25.0000	625.0000
418	-17417.000294	25.0000	25.0000	625.0000
419	-17230.649499	25.0000	25.0000	625.0000
420	-17925.702327	25.0000	25.0000	625.0000
421	-16622.558740	25.0000	25.0000	625.0000
422	-16958.104230	25.0000	25.0000	625.0000
423	-17526.031599	25.0000	25.0000	625.0000
424	-16602.145484	25.0000	25.0000	625.0000
425	-17353.737523	25.0000	25.0000	625.0000
426	-16711.132654	25.0000	25.0000	625.0000
427	-16921.293416	25.0000	25.0000	625.0000
428	-16971.502560	25.0000	25.0000	625.0000
429	-17026.279629	25.0000	25.0000	625.0000
430	-16800.255571	25.0000	25.0000	625.0000
431	-16363.409593	25.0000	25.0000	625.0000
432	-16761.408147	25.0000	25.0000	625.0000
433	-16588.685937	25.0000	25.0000	625.0000
434	-16375.715154	25.0000	25.0000	625.0000
435	-16608.681298	25.0000	25.0000	625.0000
436	-16597.339864	25.0000	25.0000	625.0000
437	-16476.518855	25.0000	25.0000	625.0000
438	-16785.783733	25.0000	25.0000	625.0000
439	-16852.601401	25.0000	25.0000	625.0000
440	-16357.657607	25.0000	25.0000	625.0000
441	-16634.246164	25.0000	25.0000	625.0000
442	-16611.464954	25.0000	25.0000	625.0000
443	-16412.128450	25.0000	25.0000	625.0000
444	-16675.913192	25.0000	25.0000	625.0000
445	-16224.811397	25.0000	25.0000	625.0000
446	-16244.030823	25.0000	25.0000	625.0000
447	-16811.577216	25.0000	25.0000	625.0000
448	-16569.967454	25.0000	25.0000	625.0000
449	-16814.732018	25.0000	25.0000	625.0000
450	-16698.444634	25.0000	25.0000	625.0000
451	-16605.024095	25.0000	25.0000	625.0000
452	-16420.846553	25.0000	25.0000	625.0000
453	-16960.444822	25.0000	25.0000	625.0000
454	-16384.357388	25.0000	25.0000	625.0000
455	-16900.033602	25.0000	25.0000	625.0000
456	-16628.048882	25.0000	25.0000	625.0000
457	-16781.062292	25.0000	25.0000	625.0000
458	-16601.215888	25.0000	25.0000	625.0000
459	-16638.915735	25.0000	25.0000	625.0000
460	-16793.135975	25.0000	25.0000	625.0000
461	-16984.004417	25.0000	25.0000	625.0000
462	-18038.340097	25.0000	25.0000	625.0000
463	-16876.819633	25.0000	25.0000	625.0000
464	-17333.204532	25.0000	25.0000	625.0000
465	-17574.325697	25.0000	25.0000	625.0000
466	-17001.789305	25.0000	25.0000	625.0000
467	-17036.252007	25.0000	25.0000	625.0000
468	-16792.275758	25.0000	25.0000	625.0000
469	-17385.117116	25.0000	25.0000	625.0000
470	-16420.456622	25.0000	25.0000	625.0000
471	-16852.616950	25.0000	25.0000	625.0000
472	-16937.049617	25.0000	25.0000	625.0000
473	-16003.989129	25.0000	25.0000	625.0000
474	-17583.865748	25.0000	25.0000	625.0000
475	-17121.541991	25.0000	25.0000	625.0000
476	-16390.380444	25.0000	25.0000	625.0000
477	-16643.430137	25.0000	25.0000	625.0000
478	-17251.440730	25.0000	25.0000	625.0000
479	-16614.330503	25.0000	25.0000	625.0000
480	-17178.169619	25.0000	25.0000	625.0000
481	-16569.914095	25.0000	25.0000	625.0000
482	-17828.196880	25.0000	25.0000	625.0000
483	-16794.979035	25.0000	25.0000	625.0000
484	-17023.128626	25.0000	25.0000	625.0000
485	-16901.615893	25.0000	25.0000	625.0000
486	-16643.144185	25.0000	25.0000	625.0000
487	-16970.537193	25.0000	25.0000	625.0000
488	-16737.795146	25.0000	25.0000	625.0000
489	-17354.806719	25.0000	25.0000	625.0000
490	-17002.105083	25.0000	25.0000	625.0000
491	-16802.474250	25.0000	25.0000	625.0000
492	-17264.802090	25.0000	25.0000	625.0000
493	-17279.237640	25.0000	25.0000	625.0000
494	-16582.748446	25.0000	25.0000	625.0000
495	-16418.021950	25.0000	25.0000	625.0000
496	-17032.508451	25.0000	25.0000	625.0000
497	-17451.170709	25.0000	25.0000	625.0000
498	-16539.280620	25.0000	25.0000	625.0000
499	-16726.523015	25.0000	25.0000	625.0000
